lab_task_id,playbook_matter,workflow,source_documents,source_criteria,question_budget
contracts/commercial-vendor-customer/master-services-agreement-counterparty-paper-review/scenario-01,ai_saas_001,counterparty-paper-review,8,56,4
contracts/commercial-vendor-customer/master-services-agreement-counterparty-paper-review/scenario-02,cloud_msa_002,counterparty-paper-review,11,65,3
contracts/commercial-vendor-customer/master-services-agreement-counterparty-paper-review/scenario-03,saas_renewal_003,counterparty-paper-review,10,60,3
contracts/commercial-vendor-customer/master-services-agreement-counterparty-paper-review/scenario-04,msa_provider_004,counterparty-paper-review,8,51,4
contracts/commercial-vendor-customer/master-services-agreement-counterparty-paper-review/scenario-05,ml_services_005,counterparty-paper-review,8,69,3
contracts/commercial-vendor-customer/master-services-agreement-counterparty-paper-review/scenario-06,nego_saas_010,counterparty-paper-review,8,53,4
contracts/commercial-vendor-customer/master-services-agreement-first-turn-redline/scenario-01,ai_saas_001,first-turn-redline,10,74,4
contracts/commercial-vendor-customer/master-services-agreement-first-turn-redline/scenario-02,cloud_msa_002,first-turn-redline,13,62,3
contracts/commercial-vendor-customer/master-services-agreement-first-turn-redline/scenario-03,saas_renewal_003,first-turn-redline,12,57,3
contracts/commercial-vendor-customer/master-services-agreement-first-turn-redline/scenario-04,msa_provider_004,first-turn-redline,10,51,4
contracts/commercial-vendor-customer/master-services-agreement-first-turn-redline/scenario-05,ml_services_005,first-turn-redline,9,34,3
contracts/commercial-vendor-customer/master-services-agreement-first-turn-redline/scenario-06,nego_saas_010,first-turn-redline,6,52,4
contracts/commercial-vendor-customer/master-services-agreement-playbook-escalation/scenario-01,ai_saas_001,playbook-escalation,10,72,4
contracts/commercial-vendor-customer/master-services-agreement-playbook-escalation/scenario-02,cloud_msa_002,playbook-escalation,10,46,3
contracts/commercial-vendor-customer/master-services-agreement-playbook-escalation/scenario-03,saas_renewal_003,playbook-escalation,11,70,3
contracts/commercial-vendor-customer/master-services-agreement-playbook-escalation/scenario-04,msa_provider_004,playbook-escalation,11,100,4
contracts/commercial-vendor-customer/master-services-agreement-playbook-escalation/scenario-05,ml_services_005,playbook-escalation,11,51,3
contracts/commercial-vendor-customer/master-services-agreement-playbook-escalation/scenario-06,nego_saas_010,playbook-escalation,13,32,4
contracts/commercial-vendor-customer/master-services-agreement-subsequent-turn-redline/scenario-01,ai_saas_001,subsequent-turn-redline,10,65,4
contracts/commercial-vendor-customer/master-services-agreement-subsequent-turn-redline/scenario-02,cloud_msa_002,subsequent-turn-redline,10,51,3
contracts/commercial-vendor-customer/master-services-agreement-subsequent-turn-redline/scenario-03,saas_renewal_003,subsequent-turn-redline,10,48,3
contracts/commercial-vendor-customer/master-services-agreement-subsequent-turn-redline/scenario-04,msa_provider_004,subsequent-turn-redline,13,57,4
contracts/commercial-vendor-customer/master-services-agreement-subsequent-turn-redline/scenario-05,ml_services_005,subsequent-turn-redline,7,28,3
contracts/commercial-vendor-customer/master-services-agreement-subsequent-turn-redline/scenario-06,nego_saas_010,subsequent-turn-redline,11,34,4
